Title,Year,Rating
The Sting,1973,8.3
M - Eine Stadt sucht einen Mörder,1931,8.3
The Apartment,1960,8.3
Jodaeiye Nader az Simin,2011,8.3
Judgment at Nuremberg,1961,8.3
Kantara,2022,8.3
Double Indemnity,1944,8.3
Taare Zameen Par,2007,8.3
Ayla: The Daughter of War,2017,8.3
Dangal,2016,8.3
Ladri di biciclette,1948,8.3
Vikram,2022,8.3
K.G.F: Chapter 2,2022,8.3
Chhichhore,2019,8.3
The Kid,1921,8.3
Shershaah,2021,8.3
Ratsasan,2018,8.3
Drishyam,2013,8.3
Guardians of the Galaxy Vol. 3,2023,8.2
Jurassic Park,1993,8.2
Spider-Man: No Way Home,2021,8.2
Indiana Jones and the Last Crusade,1989,8.2
The Wolf of Wall Street,2013,8.2
No Country for Old Men,2007,8.2
Taxi Driver,1976,8.2
Shutter Island,2010,8.2
Batman Begins,2005,8.2
Hauru no ugoku shiro,2004,8.2
1917,2019,8.2
The Thing,1982,8.2
A Beautiful Mind,2001,8.2
There Will Be Blood,2007,8.2
The Truman Show,1998,8.2
Snatch,2000,8.2
Green Book,2018,8.2
Casino,1995,8.2
Unforgiven,1992,8.2
Kill Bill: Vol. 1,2003,8.2
Finding Nemo,2003,8.2
The Sixth Sense,1999,8.2
Die Hard,1988,8.2
Der Untergang,2004,8.2
The Father,I) (2020,8.2
Some Like It Hot,1959,8.2
Pan's Labyrinth,2006,8.2
Gone with the Wind,1939,8.2
Chinatown,1974,8.2
V for Vendetta,2005,8.2
L.A. Confidential,1997,8.2
The Great Escape,1963,8.2
Monty Python and the Holy Grail,1975,8.2
The Elephant Man,1980,8.2
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,8.2
Ran,1985,8.2
El secreto de sus ojos,2009,8.2
Per qualche dollaro in più,1965,8.2
Tumbbad,2018,8.2
Drishyam 2,2022,8.2
Klaus,2019,8.2
Baahubali 2: The Conclusion,2017,8.2
Drishyam,2015,8.2
All About Eve,1950,8.2
Dial M for Murder,1954,8.2
The Treasure of the Sierra Madre,1948,8.2
Gangs of Wasseypur,2012,8.2
Yôjinbô,1961,8.2
Rashômon,1950,8.2
Miracle in Cell No. 7,2019,8.2
Tôkyô monogatari,1953,8.2
Zindagi Na Milegi Dobara,2011,8.2
Z,1969,8.2
Bacheha-Ye aseman,1997,8.2
Le salaire de la peur,1953,8.2
Andhadhun,2018,8.2
Pather Panchali,1955,8.2
To Be or Not to Be,1942,8.2
K.G.F: Chapter 1,2018,8.2
"Swades: We, the People",2004,8.2
La passion de Jeanne d'Arc,1928,8.2
Sherlock Jr.,1924,8.2
Babam ve Oglum,2005,8.2
Uri: The Surgical Strike,2019,8.2
Vikram Vedha,2017,8.2
Dersu Uzala,1975,8.2
Paan Singh Tomar,2012,8.2
Umberto D.,1952,8.2
Rangasthalam,2018,8.2
Bhaag Milkha Bhaag,2013,8.2
The Terminator,1984,8.1
Prisoners,2013,8.1
Mad Max: Fury Road,2015,8.1
The Grand Budapest Hotel,2014,8.1
Ford v Ferrari,2019,8.1
Jaws,1975,8.1
The Help,2011,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
Blade Runner,1982,8.1
The Exorcist,1973,8.1
Gone Girl,2014,8.1
Rush,I) (2013,8.1
Stand by Me,1986,8.1
Catch Me If You Can,2002,8.1
The Big Lebowski,1998,8.1
Hacksaw Ridge,2016,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
Rocky,1976,8.1
Dead Poets Society,1989,8.1
Ratatouille,2007,8.1
Inside Out,I) (2015,8.1
Ah-ga-ssi,2016,8.1
The Wizard of Oz,1939,8.1
Logan,2017,8.1
Into the Wild,2007,8.1
Platoon,1986,8.1
Trainspotting,1996,8.1
Before Sunrise,1995,8.1
Spotlight,I) (2015,8.1
"Monsters, Inc.",2001,8.1
Fargo,1996,8.1
12 Years a Slave,2013,8.1
Room,I) (2015,8.1
How to Train Your Dragon,2010,8.1
The Sound of Music,1965,8.1
"Three Billboards Outside Ebbing, Missouri",2017,8.1
Salinui chueok,2003,8.1
"Lock, Stock and Two Smoking Barrels",1998,8.1
The Deer Hunter,1978,8.1
Warrior,2011,8.1
Hachi: A Dog's Tale,2009,8.1
The Iron Giant,1999,8.1
Barry Lyndon,1975,8.1
Portrait de la jeune fille en feu,2019,8.1
Gran Torino,2008,8.1
Million Dollar Baby,2004,8.1
Raging Bull,1980,8.1
Tonari no Totoro,1988,8.1
Fa yeung nin wah,2000,8.1
On the Waterfront,1954,8.1
Network,1976,8.1
Relatos salvajes,2014,8.1
Stalker,1979,8.1
Before Sunset,2004,8.1
Cool Hand Luke,1967,8.1
"Paris, Texas",1984,8.1
La haine,1995,8.1
Koe no katachi,2016,8.1
Ben-Hur,1959,8.1
Det sjunde inseglet,1957,8.1
The Bridge on the River Kwai,1957,8.1
Persona,1966,8.1
Amores perros,2000,8.1
The Man Who Shot Liberty Valance,1962,8.1
In the Name of the Father,1993,8.1
The Best Years of Our Lives,1946,8.1
Hotel Rwanda,2004,8.1
Rebecca,1940,8.1
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1
The Third Man,1949,8.1
Inherit the Wind,1960,8.1
Paper Moon,1973,8.1
The Grapes of Wrath,1940,8.1
All Quiet on the Western Front,1930,8.1
Mary and Max.,2009,8.1
PK,2014,8.1
It Happened One Night,1934,8.1
Festen,1998,8.1
A Woman Under the Influence,1974,8.1
Fanny och Alexander,1982,8.1
Les quatre cents coups,1959,8.1
Trois couleurs: Rouge,1994,8.1
Underground,1995,8.1
Ba wang bie ji,1993,8.1
Andrei Rublev,1966,8.1
Smultronstället,1957,8.1
The Red Shoes,1948,8.1
The Message,1976,8.1
Lagaan: Once Upon a Time in India,2001,8.1
Yi yi,2000,8.1
Bajrangi Bhaijaan,2015,8.1
Kis Uykusu,2014,8.1
Mr. Smith Goes to Washington,1939,8.1
Les diaboliques,1955,8.1
Kumonosu-jô,1957,8.1
Ôkami kodomo no Ame to Yuki,2012,8.1
The General,1926,8.1
Kakushi-toride no san-akunin,1958,8.1
Sunrise: A Song of Two Humans,1927,8.1
La battaglia di Algeri,1966,8.1
Dil Chahta Hai,2001,8.1
The Gold Rush,1925,8.1
Ace in the Hole,1951,8.1
Barfi!,2012,8.1
Le notti di Cabiria,1957,8.1
Talvar,2015,8.1
Du rififi chez les hommes,1955,8.1
White Heat,1949,8.1
Jungfrukällan,1960,8.1
Masaan,2015,8.1
Höstsonaten,1978,8.1
Rang De Basanti,2006,8.1
Pink,III) (2016,8.1
Da hong denglong gaogao gua,1991,8.1
La Grande Illusion,1937,8.1
Dom za vesanje,1988,8.1
Chak De! India,2007,8.1
Queen,2013,8.1
Article 15,2019,8.1
Jean de Florette,1986,8.1
Sholay,1975,8.1
Munna Bhai M.B.B.S.,2003,8.1
Sarfarosh,1999,8.1
Mandariinid,2013,8.1
The Circus,1928,8.1
OMG: Oh My God!,2012,8.1
Eskiya,1996,8.1
Kahaani,2012,8.1
A Wednesday,2008,8.1
Udaan,2010,8.1
Hera Pheri,2000,8.1
Her Sey Çok Güzel Olacak,1998,8.1
Black,2005,8.1
Anand,1971,8.1
Dune: Part One,2021,8.0
Guardians of the Galaxy,2014,8.0
Blade Runner 2049,2017,8.0
Black Swan,2010,8.0
Zack Snyder's Justice League,2021,8.0
The Princess Bride,1987,8.0
Deadpool,2016,8.0
Casino Royale,2006,8.0
La La Land,2016,8.0
Blood Diamond,2006,8.0
The Avengers,2012,8.0
Her,2013,8.0
Donnie Darko,2001,8.0
Zootopia,2016,8.0
CODA,2021,8.0
Dances with Wolves,1990,8.0
The Incredibles,2004,8.0
The Martian,2015,8.0
Groundhog Day,1993,8.0
Sin City,2005,8.0
The Imitation Game,2014,8.0
Aladdin,1992,8.0
Beauty and the Beast,1991,8.0
The Revenant,I) (2015,8.0
Young Frankenstein,1974,8.0
Dog Day Afternoon,1975,8.0
Soul,2020,8.0
Rain Man,1988,8.0
Scent of a Woman,1992,8.0
Twelve Monkeys,1995,8.0
The Graduate,1967,8.0
Magnolia,1999,8.0
Akira,1988,8.0
Rosemary's Baby,1968,8.0
Planet of the Apes,1968,8.0
The Pursuit of Happyness,2006,8.0
Big Fish,2003,8.0
Do the Right Thing,1989,8.0
The Bourne Ultimatum,2007,8.0
Pâfekuto burû,1997,8.0
Slumdog Millionaire,2008,8.0
JFK,1991,8.0
Life of Brian,1979,8.0
Being There,1979,8.0
Contratiempo,2016,8.0
Dogville,2003,8.0
Kill Bill: Vol. 2,2004,8.0
Butch Cassidy and the Sundance Kid,1969,8.0
The King's Speech,2010,8.0
Lion,2016,8.0
Ip Man,2008,8.0
Bãhubali: The Beginning,2015,8.0
Sling Blade,1996,8.0
What Ever Happened to Baby Jane?,1962,8.0
Chung Hing sam lam,1994,8.0
Fiddler on the Roof,1971,8.0
The Last Picture Show,1971,8.0
Cinderella Man,2005,8.0
Fitzcarraldo,1982,8.0
The Maltese Falcon,1941,8.0
High Noon,1952,8.0
Annie Hall,1977,8.0
Roman Holiday,1953,8.0
Kaze no tani no Naushika,1984,8.0
Tenkû no shiro Rapyuta,1986,8.0
Solaris,1972,8.0
Rio Bravo,1959,8.0
Mommy,I) (2014,8.0
Pink Floyd: The Wall,1982,8.0
The Straight Story,1999,8.0
The Night of the Hunter,1955,8.0
Papillon,1973,8.0
8½,1963,8.0
La dolce vita,1960,8.0
Das Cabinet des Dr. Caligari,1920,8.0
Gandhi,1982,8.0
WolfWalkers,2020,8.0
Der Himmel über Berlin,1987,8.0
Out of the Past,1947,8.0
Sweet Smell of Success,1957,8.0
Il gattopardo,1963,8.0
Who's Afraid of Virginia Woolf?,1966,8.0
Mou gaan dou,2002,8.0
Anatomy of a Murder,1959,8.0
Touch of Evil,1958,8.0
La leggenda del pianista sull'oceano,1998,8.0
The Hustler,1961,8.0
Zerkalo,1975,8.0
Secrets & Lies,1996,8.0
Kaguya-hime no monogatari,2013,8.0
Song of the Sea,2014,8.0
Tropa de Elite,2007,8.0
Le Samouraï,1967,8.0
Brief Encounter,1945,8.0
Le scaphandre et le papillon,2007,8.0
Yeopgijeogin geunyeo,2001,8.0
Mar adentro,I) (2004,8.0
Stalag 17,1953,8.0
Dare mo shiranai,2004,8.0
Nostalgia,1983,8.0
"Quo vadis, Aida?",2020,8.0
Persepolis,2007,8.0
La strada,1954,8.0
Sleuth,1972,8.0
Dilwale Dulhania Le Jayenge,1995,8.0
Kind Hearts and Coronets,1949,8.0
Okuribito,2008,8.0
"Crna macka, beli macor",1998,8.0
Ahlat Agaci,2018,8.0
Viskningar och rop,1972,8.0
Au revoir les enfants,1987,8.0
Bom yeoreum gaeul gyeoul geurigo bom,2003,8.0
Ivanovo detstvo,1962,8.0
Haider,2014,8.0
Sanjuro,1962,8.0
The Shop Around the Corner,1940,8.0
Central do Brasil,1998,8.0
El ángel exterminador,1962,8.0
M.S. Dhoni: The Untold Story,2016,8.0
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8.0
Taegukgi hwinalrimyeo,2004,8.0
Roma città aperta,1945,8.0
G.O.R.A.,2004,8.0
Lage Raho Munna Bhai,2006,8.0
Nattvardsgästerna,1963,8.0
Nefes: Vatan Sagolsun,2009,8.0
Special Chabbis,2013,8.0
Andaz Apna Apna,1994,8.0
Vizontele,2001,8.0
John Wick: Chapter 4,2023,7.9
Avatar,2009,7.9
Titanic,1997,7.9
Puss in Boots: The Last Wish,2022,7.9
Knives Out,2019,7.9
Arrival,II) (2016,7.9
Bohemian Rhapsody,2018,7.9
Fantastic Mr. Fox,2009,7.9
Mulholland Dr.,2001,7.9
Iron Man,2008,7.9
Thor: Ragnarok,2017,7.9
The Perks of Being a Wallflower,2012,7.9
Almost Famous,2000,7.9
Harry Potter and the Prisoner of Azkaban,2004,7.9
Boogie Nights,1997,7.9
E.T. the Extra-Terrestrial,1982,7.9
Edge of Tomorrow,2014,7.9
True Romance,1993,7.9
X-Men: Days of Future Past,2014,7.9
The Bourne Identity,2002,7.9
Star Trek,2009,7.9
Jojo Rabbit,2019,7.9
The Lion in Winter,1968,7.9
Shrek,2001,7.9
Shaun of the Dead,2004,7.9
In Bruges,2008,7.9
Mystic River,2003,7.9
Dallas Buyers Club,2013,7.9
Children of Men,2006,7.9
Wonder,I) (2017,7.9
Life of Pi,2012,7.9
Boyhood,I) (2014,7.9
District 9,2009,7.9
In a Lonely Place,1950,7.9
The Blues Brothers,1980,7.9
Edward Scissorhands,1990,7.9
Marriage Story,2019,7.9
All the President's Men,1976,7.9
Toy Story 2,1999,7.9
Per un pugno di dollari,1964,7.9
Bound by Honor,1993,7.9
Spartacus,1960,7.9
This Is Spinal Tap,1984,7.9
The Man from Earth,2007,7.9
Carlito's Way,1993,7.9
Brazil,1985,7.9
Once Were Warriors,1994,7.9
Wo hu cang long,2000,7.9
The Nightmare Before Christmas,1993,7.9
The Ten Commandments,1956,7.9
The Searchers,1956,7.9
Nosferatu,1922,7.9
Kôkaku kidôtai,1995,7.9
Before Midnight,2013,7.9
Doctor Zhivago,1965,7.9
In the Heat of the Night,1967,7.9
The Wrestler,2008,7.9
Låt den rätte komma in,2008,7.9
Serbuan maut 2: Berandal,2014,7.9
Charade,1963,7.9
A Streetcar Named Desire,1951,7.9
The Wild Bunch,1969,7.9
Ying xiong,2002,7.9
Dancer in the Dark,2000,7.9
A Christmas Story,1983,7.9
Harold and Maude,1971,7.9
The Artist,I) (2011,7.9
King Kong,1933,7.9
Sing Street,2016,7.9
Notorious,1946,7.9
The Philadelphia Story,1940,7.9
The Killing,1956,7.9
Manbiki kazoku,2018,7.9
Patton,1970,7.9
Rope,1948,7.9
The Manchurian Candidate,1962,7.9
Gegen die Wand,2004,7.9
Togo,2019,7.9
Mildred Pierce,1945,7.9
The Big Sleep,1946,7.9
Short Term 12,2013,7.9
Strangers on a Train,1951,7.9
Cat on a Hot Tin Roof,1958,7.9
Trois couleurs: Bleu,1993,7.9
The Adventures of Robin Hood,1938,7.9
Amour,2012,7.9
Il conformista,1970,7.9
Laura,1944,7.9
Arsenic and Old Lace,1944,7.9
Hable con ella,2002,7.9
Sacrifice,1986,7.9
In Cold Blood,1967,7.9
Taeksi woonjunsa,2017,7.9
Darbareye Elly,2009,7.9
Hoje Eu Quero Voltar Sozinho,2014,7.9
Harvey,1950,7.9
My Name Is Khan,2010,7.9
Amarcord,1973,7.9
Kal Ho Naa Ho,2003,7.9
Kagemusha,1980,7.9
C.R.A.Z.Y.,2005,7.9
The Thin Man,1934,7.9
Hiroshima mon amour,1959,7.9
"4 luni, 3 saptamâni si 2 zile",2007,7.9
Ascenseur pour l'échafaud,1958,7.9
Gully Boy,2019,7.9
Miracle on 34th Street,1947,7.9
Dev.D,2009,7.9
Le cercle rouge,1970,7.9
The Lost Weekend,1945,7.9
Vozvrashchenie,2003,7.9
Nueve reinas,2000,7.9
Sullivan's Travels,1941,7.9
Jab We Met,2007,7.9
La règle du jeu,1939,7.9
Bronenosets Potemkin,1925,7.9
The Big Heat,1953,7.9
La Belle et la Bête,1946,7.9
Bin-jip,2004,7.9
Såsom i en spegel,1961,7.9
Badhaai ho,2018,7.9
Super 30,2019,7.9
No Man's Land,I) (2001,7.9
Padman,2018,7.9
Baby,I) (2015,7.9
Airlift,2016,7.9
Everything Everywhere All at Once,2022,7.8
The Batman,2022,7.8
The Breakfast Club,1985,7.8
Tombstone,1993,7.8
The Gentlemen,2019,7.8
Pride & Prejudice,2005,7.8
Im Westen nichts Neues,2022,7.8
The Hateful Eight,2015,7.8
Hot Fuzz,2007,7.8
Predator,1987,7.8
The Notebook,2004,7.8
Call Me by Your Name,2017,7.8
The Big Short,2015,7.8
Drive,I) (2011,7.8
Get Out,I) (2017,7.8
RRR (Rise Roar Revolt),2022,7.8
Ghostbusters,1984,7.8
Moonrise Kingdom,2012,7.8
Ferris Bueller's Day Off,1986,7.8
Dunkirk,2017,7.8
The Irishman,2019,7.8
Little Women,2019,7.8
About Time,I) (2013,7.8
Apocalypto,2006,7.8
Hidden Figures,2016,7.8
Guess Who's Coming to Dinner,1967,7.8
Atonement,2007,7.8
Rogue One,2016,7.8
The Social Network,2010,7.8
The Hobbit: An Unexpected Journey,2012,7.8
The Sandlot,1993,7.8
The Girl with the Dragon Tattoo,2011,7.8
Verdens verste menneske,2021,7.8
Nightcrawler,2014,7.8
The Curious Case of Benjamin Button,2008,7.8
Star Wars: Episode VII - The Force Awakens,2015,7.8
Captain America: Civil War,2016,7.8
Willy Wonka & the Chocolate Factory,1971,7.8
Back to the Future Part II,1989,7.8
A Bronx Tale,1993,7.8
American Gangster,2007,7.8
The Outlaw Josey Wales,1976,7.8
Little Miss Sunshine,2006,7.8
Taken,I) (2008,7.8
Captain Fantastic,2016,7.8
Remember the Titans,2000,7.8
Cast Away,2000,7.8
The Untouchables,1987,7.8
Captain Phillips,2013,7.8
Skyfall,2012,7.8
Isle of Dogs,2018,7.8
Manchester by the Sea,2016,7.8
Captain America: The Winter Soldier,2014,7.8
Boyz n the Hood,1991,7.8
Majo no takkyûbin,1989,7.8
Paddington 2,2017,7.8
Mary Poppins,1964,7.8
The Fugitive,1993,7.8
The Hobbit: The Desolation of Smaug,2013,7.8
The Last Samurai,2003,7.8
Ang-ma-reul bo-at-da,2010,7.8
Big Hero 6,2014,7.8
Misery,1990,7.8
Thirteen Lives,2022,7.8
The Right Stuff,1983,7.8
Serenity,2005,7.8
GATTACA,1997,7.8
Walk the Line,2005,7.8
Glory,1989,7.8
Midnight Cowboy,1969,7.8
The Day the Earth Stood Still,1951,7.8
La montaña sagrada,1973,7.8
The Fighter,I) (2010,7.8
Moon,2009,7.8
The Fall,I) (2006,7.8
Dawn of the Dead,1978,7.8
Awakenings,1990,7.8
Straight Outta Compton,2015,7.8
Pride,I) (2014,7.8
The King of Comedy,1982,7.8
Män som hatar kvinnor,2009,7.8
How to Train Your Dragon 2,2014,7.8
Letters from Iwo Jima,2006,7.8
The Insider,1999,7.8
Cabaret,1972,7.8
La migliore offerta,2013,7.8
The Conversation,1974,7.8
Hunt for the Wilderpeople,2016,7.8
The Remains of the Day,1993,7.8
Mississippi Burning,1988,7.8
Changeling,2008,7.8
Ed Wood,1994,7.8
Night of the Living Dead,1968,7.8
My Fair Lady,1964,7.8
October Sky,1999,7.8
Days of Heaven,1978,7.8
Once,I) (2007,7.8
Todo sobre mi madre,1999,7.8
All That Jazz,1979,7.8
Kramer vs. Kramer,1979,7.8
Madeo,2009,7.8
Bringing Up Baby,1938,7.8
The Killing Fields,1984,7.8
Mimi wo sumaseba,1995,7.8
Freaks,1932,7.8
My Left Foot: The Story of Christy Brown,1989,7.8
"Aguirre, der Zorn Gottes",1972,7.8
East of Eden,1955,7.8
The Day of the Jackal,1973,7.8
Frankenstein,1931,7.8
"I, Daniel Blake",2016,7.8
Chugyeokja,2008,7.8
Manhattan,1979,7.8
Jûbê ninpûchô,1993,7.8
Breaking the Waves,1996,7.8
Gaslight,1944,7.8
To Have and Have Not,1944,7.8
Hannah and Her Sisters,1986,7.8
Batman: Mask of the Phantasm,1993,7.8
Loving Vincent,2017,7.8
Das weiße Band - Eine deutsche Kindergeschichte,2009,7.8
Stagecoach,1939,7.8
Il postino,1994,7.8
Under sandet,2015,7.8
Red River,1948,7.8
The Man Who Would Be King,1975,7.8
The Lunchbox,2013,7.8
Lilja 4-ever,2002,7.8
The World's Fastest Indian,2005,7.8
Bride of Frankenstein,1935,7.8
Les parapluies de Cherbourg,1964,7.8
Shadow of a Doubt,1943,7.8
Un prophète,2009,7.8
The Innocents,1961,7.8
His Girl Friday,1940,7.8
Cowboy Bebop: Tengoku no tobira,2001,7.8
You Can't Take It with You,1938,7.8
The Asphalt Jungle,1950,7.8
Vivre sa vie: Film en douze tableaux,1962,7.8
Bir Zamanlar Anadolu'da,2011,7.8
Dip huet seung hung,1989,7.8
Crimes and Misdemeanors,1989,7.8
Tôkyô goddofâzâzu,2003,7.8
Les choristes,2004,7.8
L'avventura,1960,7.8
Soshite chichi ni naru,2013,7.8
Le charme discret de la bourgeoisie,1972,7.8
Duck Soup,1933,7.8
Sennen joyû,2001,7.8
Veer-Zaara,2004,7.8
Ma vie de Courgette,2016,7.8
A Night at the Opera,1935,7.8
Knockin' on Heaven's Door,1997,7.8
Hindi Medium,2017,7.8
Vicky Donor,2012,7.8
English Vinglish,2012,7.8
The Whale,2022,7.7
Kingsman: The Secret Service,2014,7.7
The Banshees of Inisherin,2022,7.7
The Goonies,1985,7.7
Aftersun,II) (2022,7.7
The Hangover,2009,7.7
Mission: Impossible - Fallout,2018,7.7
Blazing Saddles,1974,7.7
Harry Potter and the Goblet of Fire,2005,7.7
Y tu mamá también,2001,7.7
Black Hawk Down,2001,7.7
Zodiac,2007,7.7
Wind River,2017,7.7
La vie d'Adèle,2013,7.7
Harry Potter and the Deathly Hallows: Part 1,2010,7.7
Ex Machina,2014,7.7
Airplane!,1980,7.7
3:10 to Yuma,2007,7.7
A Few Good Men,1992,7.7
Ocean's Eleven,2001,7.7
Detachment,2011,7.7
Silver Linings Playbook,2012,7.7
Primal Fear,1996,7.7
The Game,1997,7.7
Home Alone,1990,7.7
The Last of the Mohicans,1992,7.7
Brokeback Mountain,2005,7.7
(500) Days of Summer,2009,7.7
Tangled,2010,7.7
Mr. Nobody,2009,7.7
The Lego Movie,2014,7.7
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7
Lost in Translation,2003,7.7
Blue Velvet,1986,7.7
Man on Fire,2004,7.7
X: First Class,2011,7.7
Training Day,2001,7.7
Coraline,2009,7.7
The French Connection,1971,7.7
Philadelphia,1993,7.7
Deliverance,1972,7.7
Argo,2012,7.7
Happiness,1998,7.7
Toy Story 4,2019,7.7
Evil Dead II,1987,7.7
Crash,I) (2004,7.7
Apollo 13,I) (1995,7.7
The Machinist,2004,7.7
Wreck-It Ralph,2012,7.7
The Count of Monte Cristo,2002,7.7
What's Eating Gilbert Grape,1993,7.7
First Blood,1982,7.7
Who Framed Roger Rabbit,1988,7.7
Druk,2020,7.7
"O Brother, Where Art Thou?",2000,7.7
The Bourne Supremacy,2004,7.7
Halloween,1978,7.7
Road to Perdition,2002,7.7
When Harry Met Sally...,1989,7.7
Midnight in Paris,2011,7.7
The Boy in the Striped Pajamas,2008,7.7
The Fault in Our Stars,2014,7.7
Adaptation.,2002,7.7
The Color Purple,1985,7.7
The Trial of the Chicago 7,2020,7.7
As Good as It Gets,1997,7.7
Sense and Sensibility,1995,7.7
Wait Until Dark,1967,7.7
Gravity,2013,7.7
The Boondock Saints,1999,7.7
Flipped,I) (2010,7.7
En man som heter Ove,2015,7.7
Serpico,1973,7.7
Star Trek II: The Wrath of Khan,1982,7.7
Sound of Metal,2019,7.7
Donnie Brasco,1997,7.7
Glengarry Glen Ross,1992,7.7
Empire of the Sun,1987,7.7
Fried Green Tomatoes,1991,7.7
This Is England,2006,7.7
The Magnificent Seven,1960,7.7
Dirty Harry,1971,7.7
Goldfinger,1964,7.7
Kung fu,2004,7.7
Star Trek Into Darkness,2013,7.7
Being John Malkovich,1999,7.7
Naked,1993,7.7
La grande bellezza,2013,7.7
The Theory of Everything,2014,7.7
The Longest Day,1962,7.7
Clerks,1994,7.7
Ordinary People,1980,7.7
Billy Elliot,2000,7.7
Lucky Number Slevin,2006,7.7
The Dirty Dozen,1967,7.7
Bonnie and Clyde,1967,7.7
The Verdict,1982,7.7
"South Park: Bigger, Longer & Uncut",1999,7.7
Paprika,2006,7.7
Der Name der Rose,1986,7.7
Kubo and the Two Strings,2016,7.7
Me and Earl and the Dying Girl,2015,7.7
Kaze tachinu,2013,7.7
Roma,2018,7.7
Malcolm X,1992,7.7
The Last Emperor,1987,7.7
La planète sauvage,1973,7.7
Belle de jour,1967,7.7
Ray,I) (2004,7.7
Ajeossi,2010,7.7
Lola rennt,1998,7.7
Miller's Crossing,1990,7.7
